id,quality
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,0
581,1
582,1
583,0
584,1
585,0
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,1
678,0
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,0
703,1
704,0
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,1
716,1
717,1
718,0
719,1
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,0
782,0
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,1
798,1
799,1
